"","Rank","Bib","Name","Nation","Sexo","Date","Time","WMTRC","Race"
"1","1",25,"Blandine LHIRONDEL","FRA","Female",2022-11-05,08:22:14,"Amazing Thailand","Long Trail Race"
"2","2",63,"Ida NILSSON","SWE","Female",2022-11-05,08:34:59,"Amazing Thailand","Long Trail Race"
"3","3",17,"Gemma ARENAS ALCAZAR","ESP","Female",2022-11-05,08:46:27,"Amazing Thailand","Long Trail Race"
"4","4",32,"Eszter CSILLAG","HUN","Female",2022-11-05,08:49:24,"Amazing Thailand","Long Trail Race"
"5","5",29,"Rosanna BUCHAUER","GER","Female",2022-11-05,08:50:45,"Amazing Thailand","Long Trail Race"
"6","6",26,"Audrey TANGUY","FRA","Female",2022-11-05,08:51:57,"Amazing Thailand","Long Trail Race"
"7","7",24,"Marion DELESPIERRE","FRA","Female",2022-11-05,08:51:57,"Amazing Thailand","Long Trail Race"
"8","8",19,"Maite MAYORA ELIZONDO","ESP","Female",2022-11-05,08:56:40,"Amazing Thailand","Long Trail Race"
"9","9",37,"Giuditta TURINI","ITA","Female",2022-11-05,09:00:05,"Amazing Thailand","Long Trail Race"
"10","10",50,"Sunmaya BUDHA","NEP","Female",2022-11-05,09:00:28,"Amazing Thailand","Long Trail Race"
"11","11",64,"Emma POOLEY","SUI","Female",2022-11-05,09:05:08,"Amazing Thailand","Long Trail Race"
"12","12",55,"Sylvia NORDSKAR","NOR","Female",2022-11-05,09:06:43,"Amazing Thailand","Long Trail Race"
"13","13",22,"Johanna ANTILA","FIN","Female",2022-11-05,09:07:09,"Amazing Thailand","Long Trail Race"
"14","14",40,"Honoka AKIYAMA","JPN","Female",2022-11-05,09:09:20,"Amazing Thailand","Long Trail Race"
"15","15",20,"Marta MOLIST CODINA","ESP","Female",2022-11-05,09:10:14,"Amazing Thailand","Long Trail Race"
"16","16",27,"Jocelyne PAULY","FRA","Female",2022-11-05,09:14:20,"Amazing Thailand","Long Trail Race"
"17","17",57,"Katarzyna WILK","POL","Female",2022-11-05,09:14:59,"Amazing Thailand","Long Trail Race"
"18","18",54,"Mari Klakegg FENRE","NOR","Female",2022-11-05,09:15:16,"Amazing Thailand","Long Trail Race"
"19","19",80,"Leah YINGLING","USA","Female",2022-11-05,09:16:28,"Amazing Thailand","Long Trail Race"
"20","20",23,"Manon BOHARD CAILLER","FRA","Female",2022-11-05,09:23:24,"Amazing Thailand","Long Trail Race"
"21","21",28,"Laure PARADAN","FRA","Female",2022-11-05,09:25:30,"Amazing Thailand","Long Trail Race"
"22","22",58,"Katarzyna SOLIŃSKA","POL","Female",2022-11-05,09:27:54,"Amazing Thailand","Long Trail Race"
"23","23",36,"Camilla SPAGNOL","ITA","Female",2022-11-05,09:30:52,"Amazing Thailand","Long Trail Race"
"24","24",79,"Kaytlyn GERBIN","USA","Female",2022-11-05,09:33:08,"Amazing Thailand","Long Trail Race"
"25","25",38,"Alessandra BOIFAVA","ITA","Female",2022-11-05,09:35:11,"Amazing Thailand","Long Trail Race"
"26","26",21,"Monica VIVES VILA","ESP","Female",2022-11-05,09:36:06,"Amazing Thailand","Long Trail Race"
"27","27",77,"Brittany CHARBONEAU","USA","Female",2022-11-05,09:43:52,"Amazing Thailand","Long Trail Race"
"28","28",52,"Sara-Rebekka Færø LINDE","NOR","Female",2022-11-05,09:46:49,"Amazing Thailand","Long Trail Race"
"29","29",75,"Katie KAARS SIJPESTEIJN","GBR","Female",2022-11-05,09:47:35,"Amazing Thailand","Long Trail Race"
"30","30",12,"Esther FELLHOFER","AUT","Female",2022-11-05,09:54:44,"Amazing Thailand","Long Trail Race"
"31","31",31,"Man Yee CHEUNG","HKG","Female",2022-11-05,09:57:49,"Amazing Thailand","Long Trail Race"
"32","32",61,"Inês MARQUES","POR","Female",2022-11-05,09:58:02,"Amazing Thailand","Long Trail Race"
"33","33",18,"Azara GARCIA DE LOS SALMONES MARCANO","ESP","Female",2022-11-05,10:18:24,"Amazing Thailand","Long Trail Race"
"34","34",74,"Meryl COOPER","GBR","Female",2022-11-05,10:21:34,"Amazing Thailand","Long Trail Race"
"35","35",7,"Sarah LUDOWICI","AUS","Female",2022-11-05,10:22:25,"Amazing Thailand","Long Trail Race"
"36","36",62,"Paula BARBOSA","POR","Female",2022-11-05,10:27:45,"Amazing Thailand","Long Trail Race"
"37","37",47,"Inga CIMARMANAITĖ","LTU","Female",2022-11-05,10:32:20,"Amazing Thailand","Long Trail Race"
"38","38",60,"Cristina ARREIOL","POR","Female",2022-11-05,10:40:33,"Amazing Thailand","Long Trail Race"
"39","39",78,"Addie BRACY","USA","Female",2022-11-05,10:40:42,"Amazing Thailand","Long Trail Race"
"40","40",1,"Adriana Vanesa VARGAS","ARG","Female",2022-11-05,10:43:32,"Amazing Thailand","Long Trail Race"
"41","41",2,"Anabel OVIEDO ZELARRAYAN","ARG","Female",2022-11-05,10:43:47,"Amazing Thailand","Long Trail Race"
"42","42",56,"Dominika STELMACH","POL","Female",2022-11-05,10:48:16,"Amazing Thailand","Long Trail Race"
"43","43",8,"Louise CLIFTON","AUS","Female",2022-11-05,10:56:40,"Amazing Thailand","Long Trail Race"
"44","44",42,"Laura ČAKLE","LAT","Female",2022-11-05,10:59:17,"Amazing Thailand","Long Trail Race"
"45","45",30,"Ying Suet LEUNG","HKG","Female",2022-11-05,11:02:28,"Amazing Thailand","Long Trail Race"
"46","46",9,"Jessica SCHLUTER","AUS","Female",2022-11-05,11:05:40,"Amazing Thailand","Long Trail Race"
"47","47",45,"Gitana AKMANAVIČIŪTĖ","LTU","Female",2022-11-05,11:09:47,"Amazing Thailand","Long Trail Race"
"48","48",5,"Maria Silvina PEREZ","ARG","Female",2022-11-05,11:19:55,"Amazing Thailand","Long Trail Race"
"49","49",6,"Maria Belen BARRERA","ARG","Female",2022-11-05,11:19:55,"Amazing Thailand","Long Trail Race"
"50","50",11,"Gillian FOWLER","AUS","Female",2022-11-05,11:22:49,"Amazing Thailand","Long Trail Race"
"51","51",59,"Lucinda SOUSA","POR","Female",2022-11-05,11:26:46,"Amazing Thailand","Long Trail Race"
"52","52",13,"Joannie DESROCHES","CAN","Female",2022-11-05,11:32:19,"Amazing Thailand","Long Trail Race"
"53","53",14,"Maïka LAMOUREUX","CAN","Female",2022-11-05,11:32:22,"Amazing Thailand","Long Trail Race"
"54","54",71,"Benjamas CHOTEMATEEPIROM","THA","Female",2022-11-05,11:37:37,"Amazing Thailand","Long Trail Race"
"55","55",34,"Rannveig ODDSDOTTIR","ISL","Female",2022-11-05,11:39:41,"Amazing Thailand","Long Trail Race"
"56","56",53,"Thea HANSSEN","NOR","Female",2022-11-05,11:45:09,"Amazing Thailand","Long Trail Race"
"57","57",48,"Marija PIPIRAITĖ-GRUMBINĖ","LTU","Female",2022-11-05,11:52:14,"Amazing Thailand","Long Trail Race"
"58","58",33,"Elisabet MARGEIRSDOTTIR","ISL","Female",2022-11-05,11:53:42,"Amazing Thailand","Long Trail Race"
"59","59",10,"Fan XIANG","AUS","Female",2022-11-05,11:54:43,"Amazing Thailand","Long Trail Race"
"60","60",68,"Jatupornpunoot PUTTHAJUNYA","THA","Female",2022-11-05,11:56:38,"Amazing Thailand","Long Trail Race"
"61","61",4,"Carolina Tania DIAZ ESTEVEZ","ARG","Female",2022-11-05,11:57:41,"Amazing Thailand","Long Trail Race"
"62","62",3,"Maira Valeria MARDONES","ARG","Female",2022-11-05,12:06:22,"Amazing Thailand","Long Trail Race"
"63","63",82,"Phichanan MAHACHOT","THA","Female",2022-11-05,12:07:39,"Amazing Thailand","Long Trail Race"
"64","64",72,"Phichamon RUKSAKUL","THA","Female",2022-11-05,12:08:52,"Amazing Thailand","Long Trail Race"
"65","65",66,"Hsiu-Ching CHEN","TPE","Female",2022-11-05,12:20:01,"Amazing Thailand","Long Trail Race"
"66","66",70,"Chonlada KAPPIYANOND","THA","Female",2022-11-05,12:41:19,"Amazing Thailand","Long Trail Race"
"67","67",44,"Elīna JOKUMA","LAT","Female",2022-11-05,12:59:14,"Amazing Thailand","Long Trail Race"
"68","68",35,"Theresia RUTH","INA","Female",2022-11-05,13:00:45,"Amazing Thailand","Long Trail Race"
"69","69",41,"Ilze LIMANĀNE","LAT","Female",2022-11-05,13:07:08,"Amazing Thailand","Long Trail Race"
"70","70",65,"Hsiao-Hui LO","TPE","Female",2022-11-05,13:19:09,"Amazing Thailand","Long Trail Race"
"71","71",43,"Elīna KABAĻINA","LAT","Female",2022-11-05,14:35:34,"Amazing Thailand","Long Trail Race"
"72","72",67,"Wen-Ya TSAI","TPE","Female",2022-11-05,15:07:12,"Amazing Thailand","Long Trail Race"
"73","DNF",16,"Daniela LASSO","ECU","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"74","DNF",49,"Sally Ann YAP YU ING","MAS","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"75","DNF",73,"Olena KHASHKO","UKR","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"76","DNS",15,"Marcela VAŠÍNOVÁ","CZE","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"77","DNS",51,"Henriette ALBON","NOR","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"78","DNS",76,"Jennifer LICHTER","USA","Female",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"79","1",207,"Adam PETERMAN","USA","Male",2022-11-05,07:15:54,"Amazing Thailand","Long Trail Race"
"80","2",130,"Nicolas MARTIN","FRA","Male",2022-11-05,07:28:44,"Amazing Thailand","Long Trail Race"
"81","3",148,"Andreas REITERER","ITA","Male",2022-11-05,07:36:50,"Amazing Thailand","Long Trail Race"
"82","4",126,"Jose Angel FERNANDEZ JIMENEZ","ESP","Male",2022-11-05,07:39:20,"Amazing Thailand","Long Trail Race"
"83","5",124,"Aritz EGEA CACERES","ESP","Male",2022-11-05,07:48:42,"Amazing Thailand","Long Trail Race"
"84","6",133,"Thibaut GARRIVIER","FRA","Male",2022-11-05,07:50:13,"Amazing Thailand","Long Trail Race"
"85","7",206,"Eric LIPUMA","USA","Male",2022-11-05,07:52:13,"Amazing Thailand","Long Trail Race"
"86","8",182,"Peter FRAŇO","SVK","Male",2022-11-05,07:53:07,"Amazing Thailand","Long Trail Race"
"87","9",170,"Didrik Grytbak HERMANSEN","NOR","Male",2022-11-05,07:53:42,"Amazing Thailand","Long Trail Race"
"88","10",135,"Paul MATHOU","FRA","Male",2022-11-05,07:53:47,"Amazing Thailand","Long Trail Race"
"89","11",204,"Harry JONES","GBR","Male",2022-11-05,07:54:10,"Amazing Thailand","Long Trail Race"
"90","12",185,"Ramon MANETSCH","SUI","Male",2022-11-05,07:55:18,"Amazing Thailand","Long Trail Race"
"91","13",181,"Raul Octavian BUTACI","ROU","Male",2022-11-05,07:57:35,"Amazing Thailand","Long Trail Race"
"92","14",208,"Jeff COLT","USA","Male",2022-11-05,07:58:24,"Amazing Thailand","Long Trail Race"
"93","15",132,"Martin KERN","FRA","Male",2022-11-05,07:59:53,"Amazing Thailand","Long Trail Race"
"94","16",150,"Yuya KAWASAKI","JPN","Male",2022-11-05,08:01:18,"Amazing Thailand","Long Trail Race"
"95","17",145,"Davide CHERAZ","ITA","Male",2022-11-05,08:03:48,"Amazing Thailand","Long Trail Race"
"96","18",137,"Benedikt HOFFMANN","GER","Male",2022-11-05,08:07:17,"Amazing Thailand","Long Trail Race"
"97","19",180,"Andrei PREDA","ROU","Male",2022-11-05,08:08:13,"Amazing Thailand","Long Trail Race"
"98","20",147,"Riccardo MONTANI","ITA","Male",2022-11-05,08:09:12,"Amazing Thailand","Long Trail Race"
"99","21",151,"Hirokazu NISHIMURA","JPN","Male",2022-11-05,08:11:12,"Amazing Thailand","Long Trail Race"
"100","22",184,"Simen Hjalmar WÄSTLUND","SWE","Male",2022-11-05,08:11:54,"Amazing Thailand","Long Trail Race"
"101","23",127,"Marcos RAMOS GONZALEZ","ESP","Male",2022-11-05,08:14:55,"Amazing Thailand","Long Trail Race"
"102","24",131,"Ludovic POMMERET","FRA","Male",2022-11-05,08:16:50,"Amazing Thailand","Long Trail Race"
"103","25",146,"Francesco CUCCO","ITA","Male",2022-11-05,08:17:39,"Amazing Thailand","Long Trail Race"
"104","26",173,"Kamil LEŚNIAK","POL","Male",2022-11-05,08:21:06,"Amazing Thailand","Long Trail Race"
"105","27",121,"Mads LOURING","DEN","Male",2022-11-05,08:23:15,"Amazing Thailand","Long Trail Race"
"106","28",134,"Arthur JOYEUX BOUILLON","FRA","Male",2022-11-05,08:26:08,"Amazing Thailand","Long Trail Race"
"107","29",186,"Martin LUSTENBERGER","SUI","Male",2022-11-05,08:26:49,"Amazing Thailand","Long Trail Race"
"108","30",176,"Miguel ARSÉNIO","POR","Male",2022-11-05,08:28:36,"Amazing Thailand","Long Trail Race"
"109","31",114,"Jean-Philippe THIBODEAU","CAN","Male",2022-11-05,08:30:05,"Amazing Thailand","Long Trail Race"
"110","32",138,"Ho Chung WONG","HKG","Male",2022-11-05,08:31:00,"Amazing Thailand","Long Trail Race"
"111","33",153,"Yutaro YOKOUCHI","JPN","Male",2022-11-05,08:32:40,"Amazing Thailand","Long Trail Race"
"112","34",203,"George FOSTER","GBR","Male",2022-11-05,08:34:19,"Amazing Thailand","Long Trail Race"
"113","35",168,"Anders Johnny KJÆREVIK","NOR","Male",2022-11-05,08:35:18,"Amazing Thailand","Long Trail Race"
"114","36",172,"Paweł CZERNIAK","POL","Male",2022-11-05,08:35:32,"Amazing Thailand","Long Trail Race"
"115","37",149,"Matteo ANSELMI","ITA","Male",2022-11-05,08:35:46,"Amazing Thailand","Long Trail Race"
"116","38",167,"Tom Erik HALVORSEN","NOR","Male",2022-11-05,08:37:06,"Amazing Thailand","Long Trail Race"
"117","39",205,"Ryan SMITH","GBR","Male",2022-11-05,08:38:38,"Amazing Thailand","Long Trail Race"
"118","40",143,"Patrick O'LEARY","IRL","Male",2022-11-05,08:41:59,"Amazing Thailand","Long Trail Race"
"119","41",152,"Satoru SUGA","JPN","Male",2022-11-05,08:43:01,"Amazing Thailand","Long Trail Race"
"120","42",139,"Thorbergur Ingi JONSSON","ISL","Male",2022-11-05,08:45:47,"Amazing Thailand","Long Trail Race"
"121","43",165,"Weston HILL","NZL","Male",2022-11-05,08:46:01,"Amazing Thailand","Long Trail Race"
"122","44",122,"Kristian JOERGENSEN","DEN","Male",2022-11-05,08:46:57,"Amazing Thailand","Long Trail Race"
"123","45",125,"Borja FERNANDEZ FERNANDEZ","ESP","Male",2022-11-05,08:47:37,"Amazing Thailand","Long Trail Race"
"124","46",128,"Juuso SIMPANEN","FIN","Male",2022-11-05,08:48:03,"Amazing Thailand","Long Trail Race"
"125","47",106,"Joshua CHUGG","AUS","Male",2022-11-05,08:48:36,"Amazing Thailand","Long Trail Race"
"126","48",129,"Jussi NOKELAINEN","FIN","Male",2022-11-05,08:49:35,"Amazing Thailand","Long Trail Race"
"127","49",175,"Hugo GONÇALVES","POR","Male",2022-11-05,08:49:53,"Amazing Thailand","Long Trail Race"
"128","50",178,"Valentin TOMA","ROU","Male",2022-11-05,08:54:19,"Amazing Thailand","Long Trail Race"
"129","51",183,"Marián PRIADKA","SVK","Male",2022-11-05,08:58:23,"Amazing Thailand","Long Trail Race"
"130","52",171,"Tomasz SKUPIEŃ","POL","Male",2022-11-05,09:02:16,"Amazing Thailand","Long Trail Race"
"131","53",209,"Adam MERRY","USA","Male",2022-11-05,09:02:42,"Amazing Thailand","Long Trail Race"
"132","54",174,"Bruno SOUSA","POR","Male",2022-11-05,09:03:09,"Amazing Thailand","Long Trail Race"
"133","55",169,"Sebastian KROGVIK","NOR","Male",2022-11-05,09:04:06,"Amazing Thailand","Long Trail Race"
"134","56",105,"Matthew CREHAN","AUS","Male",2022-11-05,09:12:23,"Amazing Thailand","Long Trail Race"
"135","57",116,"David JEKER","CAN","Male",2022-11-05,09:13:20,"Amazing Thailand","Long Trail Race"
"136","58",154,"Gvido KALNIŅŠ","LAT","Male",2022-11-05,09:13:30,"Amazing Thailand","Long Trail Race"
"137","59",102,"Jesus Antonio BARROSO AGÜERO","ARG","Male",2022-11-05,09:13:36,"Amazing Thailand","Long Trail Race"
"138","60",194,"Jantaraboon KIANGCHAIPAIPHANA","THA","Male",2022-11-05,09:14:51,"Amazing Thailand","Long Trail Race"
"139","61",142,"Dwi Kurniawan RISQI","INA","Male",2022-11-05,09:17:40,"Amazing Thailand","Long Trail Race"
"140","62",104,"Franco Hernan ORO","ARG","Male",2022-11-05,09:21:00,"Amazing Thailand","Long Trail Race"
"141","63",119,"Henrik WESTERLIN","DEN","Male",2022-11-05,09:23:26,"Amazing Thailand","Long Trail Race"
"142","64",103,"Facundo Alejo NUÑER","ARG","Male",2022-11-05,09:23:42,"Amazing Thailand","Long Trail Race"
"143","65",120,"Jesper MEINS","DEN","Male",2022-11-05,09:28:24,"Amazing Thailand","Long Trail Race"
"144","66",164,"Luis Efrain URBINA","MEX","Male",2022-11-05,09:28:57,"Amazing Thailand","Long Trail Race"
"145","67",123,"Alexander OLIVO","ECU","Male",2022-11-05,09:31:03,"Amazing Thailand","Long Trail Race"
"146","68",177,"Carlos FERREIRA","POR","Male",2022-11-05,09:31:43,"Amazing Thailand","Long Trail Race"
"147","69",118,"Luis Esteban SOTO AYAMANTE","CHI","Male",2022-11-05,09:34:32,"Amazing Thailand","Long Trail Race"
"148","70",163,"Oswaldo Yair PEREDO","MEX","Male",2022-11-05,09:34:42,"Amazing Thailand","Long Trail Race"
"149","71",159,"Edvardas MOSEIKA","LTU","Male",2022-11-05,09:40:46,"Amazing Thailand","Long Trail Race"
"150","72",140,"Thorsteinn Roy JOHANNSSON","ISL","Male",2022-11-05,09:42:22,"Amazing Thailand","Long Trail Race"
"151","73",195,"Atthapol INTAJAK","THA","Male",2022-11-05,09:43:14,"Amazing Thailand","Long Trail Race"
"152","74",107,"Majell BACKHAUSEN","AUS","Male",2022-11-05,09:45:51,"Amazing Thailand","Long Trail Race"
"153","75",197,"Krisada THONGJIB","THA","Male",2022-11-05,09:46:29,"Amazing Thailand","Long Trail Race"
"154","76",161,"Milton AMAT","MAS","Male",2022-11-05,09:50:40,"Amazing Thailand","Long Trail Race"
"155","77",160,"Laurynas REMEIKA","LTU","Male",2022-11-05,09:50:40,"Amazing Thailand","Long Trail Race"
"156","78",101,"Luciano PILATTI","ARG","Male",2022-11-05,09:57:00,"Amazing Thailand","Long Trail Race"
"157","79",144,"Riccardo BORGIALLI","ITA","Male",2022-11-05,09:57:10,"Amazing Thailand","Long Trail Race"
"158","80",201,"Oleksii MELNYK","UKR","Male",2022-11-05,10:04:26,"Amazing Thailand","Long Trail Race"
"159","81",108,"Thomas DADE","AUS","Male",2022-11-05,10:13:05,"Amazing Thailand","Long Trail Race"
"160","82",158,"Donatas KOJALA","LTU","Male",2022-11-05,10:23:53,"Amazing Thailand","Long Trail Race"
"161","83",141,"Sigurjon Ernir STURLUSON","ISL","Male",2022-11-05,10:34:15,"Amazing Thailand","Long Trail Race"
"162","84",156,"Matīss VECVAGARIS","LAT","Male",2022-11-05,10:37:44,"Amazing Thailand","Long Trail Race"
"163","85",192,"Yi-Lin CHUNG","TPE","Male",2022-11-05,10:53:44,"Amazing Thailand","Long Trail Race"
"164","86",196,"Sanya KHANCHAI","THA","Male",2022-11-05,10:57:53,"Amazing Thailand","Long Trail Race"
"165","87",117,"Matt TRIBE","CAN","Male",2022-11-05,11:07:24,"Amazing Thailand","Long Trail Race"
"166","88",110,"Wouter VERHEYEN","BEL","Male",2022-11-05,11:27:02,"Amazing Thailand","Long Trail Race"
"167","89",200,"Bogdan ONYSCHENKO","UKR","Male",2022-11-05,11:40:35,"Amazing Thailand","Long Trail Race"
"168","90",190,"Tsai-Tsung CHEN","TPE","Male",2022-11-05,11:43:19,"Amazing Thailand","Long Trail Race"
"169","91",198,"Yotchai CHAIPROMMA","THA","Male",2022-11-05,12:07:39,"Amazing Thailand","Long Trail Race"
"170","92",189,"Shih-Hsuan CHEN","TPE","Male",2022-11-05,12:17:10,"Amazing Thailand","Long Trail Race"
"171","93",157,"Ramūnas GRUMBINAS","LTU","Male",2022-11-05,12:19:47,"Amazing Thailand","Long Trail Race"
"172","94",428,"Kristo HALME","FIN","Male",2022-11-05,12:20:20,"Amazing Thailand","Long Trail Race"
"173","95",191,"Yen-Tsung CHEN","TPE","Male",2022-11-05,12:22:55,"Amazing Thailand","Long Trail Race"
"174","96",193,"Jia-Horng GAU","TPE","Male",2022-11-05,13:00:01,"Amazing Thailand","Long Trail Race"
"175","97",109,"Elmir ASKAROV","AZE","Male",2022-11-05,13:15:59,"Amazing Thailand","Long Trail Race"
"176","98",111,"Jean-Luc PUONG","CAM","Male",2022-11-05,13:41:41,"Amazing Thailand","Long Trail Race"
"177","99",112,"Richard VOILQUIN","CAM","Male",2022-11-05,14:33:23,"Amazing Thailand","Long Trail Race"
"178","100",113,"Saroeun KIM","CAM","Male",2022-11-05,14:40:30,"Amazing Thailand","Long Trail Race"
"179","DNF",166,"Tobias Dahl FENRE","NOR","Male",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"180","DNS",179,"Catalin SORECAU","ROU","Male",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"181","DNS",187,"Martin ANTHAMATTEN","SUI","Male",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"182","DNS",202,"Tom EVANS","GBR","Male",2022-11-05,NA,"Amazing Thailand","Long Trail Race"
"183","1",352,"Denisa Ionela DRAGOMIR","ROU","Female",2022-11-05,03:49:24,"Amazing Thailand","Short Trail Race"
"184","2",378,"Barbora MACUROVÁ","CZE","Female",2022-11-05,03:51:22,"Amazing Thailand","Short Trail Race"
"185","3",356,"Emilia BRANGEFÄLT","SWE","Female",2022-11-05,03:54:53,"Amazing Thailand","Short Trail Race"
"186","4",320,"Nuria GIL CLAPERA","ESP","Female",2022-11-05,03:56:25,"Amazing Thailand","Short Trail Race"
"187","5",317,"Sheila AVILES CASTAÑO","ESP","Female",2022-11-05,03:56:39,"Amazing Thailand","Short Trail Race"
"188","6",332,"Fabiola CONTI","ITA","Female",2022-11-05,03:57:10,"Amazing Thailand","Short Trail Race"
"189","7",373,"Kimber MATTOX","USA","Female",2022-11-05,03:57:40,"Amazing Thailand","Short Trail Race"
"190","8",366,"Eleanor DAVIS","GBR","Female",2022-11-05,03:58:06,"Amazing Thailand","Short Trail Race"
"191","9",369,"Sharon TAYLOR","GBR","Female",2022-11-05,04:01:28,"Amazing Thailand","Short Trail Race"
"192","10",319,"Julia FONT GOMEZ","ESP","Female",2022-11-05,04:02:41,"Amazing Thailand","Short Trail Race"
"193","11",374,"Ashley BRASOVAN","USA","Female",2022-11-05,04:04:05,"Amazing Thailand","Short Trail Race"
"194","12",324,"Mathilde SAGNES","FRA","Female",2022-11-05,04:05:55,"Amazing Thailand","Short Trail Race"
"195","13",372,"Stevie KREMER","USA","Female",2022-11-05,04:06:56,"Amazing Thailand","Short Trail Race"
"196","14",336,"Takako TAKAMURA","JPN","Female",2022-11-05,04:07:13,"Amazing Thailand","Short Trail Race"
"197","15",322,"Anna-Stiina ERKKILÄ","FIN","Female",2022-11-05,04:07:55,"Amazing Thailand","Short Trail Race"
"198","16",333,"Chiara GIOVANDO","ITA","Female",2022-11-05,04:08:44,"Amazing Thailand","Short Trail Race"
"199","17",327,"Esther EUSTACHE","FRA","Female",2022-11-05,04:08:59,"Amazing Thailand","Short Trail Race"
"200","18",368,"Nichola JACKSON","GBR","Female",2022-11-05,04:11:00,"Amazing Thailand","Short Trail Race"
"201","19",318,"Anna COMET PASCUA","ESP","Female",2022-11-05,04:12:39,"Amazing Thailand","Short Trail Race"
"202","20",335,"Camilla MAGLIANO","ITA","Female",2022-11-05,04:13:24,"Amazing Thailand","Short Trail Race"
"203","21",329,"Andrea KOLBEINSDOTTIR","ISL","Female",2022-11-05,04:14:08,"Amazing Thailand","Short Trail Race"
"204","22",367,"Catriona GRAVES","GBR","Female",2022-11-05,04:16:22,"Amazing Thailand","Short Trail Race"
"205","23",310,"Barbora JÍŠOVÁ","CZE","Female",2022-11-05,04:16:41,"Amazing Thailand","Short Trail Race"
"206","24",355,"Johanna GELFGREN","SWE","Female",2022-11-05,04:17:26,"Amazing Thailand","Short Trail Race"
"207","25",371,"Kristina MASCARENAS","USA","Female",2022-11-05,04:18:22,"Amazing Thailand","Short Trail Race"
"208","26",357,"Ariane WILHEM","SUI","Female",2022-11-05,04:18:46,"Amazing Thailand","Short Trail Race"
"209","27",313,"Ulrikke EVENSEN","DEN","Female",2022-11-05,04:19:14,"Amazing Thailand","Short Trail Race"
"210","28",325,"Louise SERBAN PENHOAT","FRA","Female",2022-11-05,04:20:13,"Amazing Thailand","Short Trail Race"
"211","29",306,"Paige LINEGAR","AUS","Female",2022-11-05,04:20:15,"Amazing Thailand","Short Trail Race"
"212","30",350,"Marisa VIEIRA","POR","Female",2022-11-05,04:24:33,"Amazing Thailand","Short Trail Race"
"213","31",323,"Anaïs SABRIE","FRA","Female",2022-11-05,04:25:55,"Amazing Thailand","Short Trail Race"
"214","32",321,"Virginia PEREZ MESONERO","ESP","Female",2022-11-05,04:27:24,"Amazing Thailand","Short Trail Race"
"215","33",334,"Ivana IOZZIA","ITA","Female",2022-11-05,04:32:27,"Amazing Thailand","Short Trail Race"
"216","34",363,"Hanna DARMOHRAI","UKR","Female",2022-11-05,04:32:37,"Amazing Thailand","Short Trail Race"
"217","35",301,"Roxana FLORES","ARG","Female",2022-11-05,04:33:10,"Amazing Thailand","Short Trail Race"
"218","36",348,"Inês JOÃO","POR","Female",2022-11-05,04:33:19,"Amazing Thailand","Short Trail Race"
"219","37",326,"Candice FERTIN","FRA","Female",2022-11-05,04:34:06,"Amazing Thailand","Short Trail Race"
"220","38",349,"Mariana MACHADO","POR","Female",2022-11-05,04:36:01,"Amazing Thailand","Short Trail Race"
"221","39",312,"Lucie ŠACLOVÁ","CZE","Female",2022-11-05,04:36:50,"Amazing Thailand","Short Trail Race"
"222","40",304,"Maria Ines CHRESTIA","ARG","Female",2022-11-05,04:37:44,"Amazing Thailand","Short Trail Race"
"223","41",351,"Nádia CASTELEIRO","POR","Female",2022-11-05,04:37:47,"Amazing Thailand","Short Trail Race"
"224","42",309,"Patricia Ariela COBI VELASQUEZ","CHI","Female",2022-11-05,04:37:56,"Amazing Thailand","Short Trail Race"
"225","43",353,"Lina KOTT HELANDER","SWE","Female",2022-11-05,04:39:14,"Amazing Thailand","Short Trail Race"
"226","44",307,"Amy DANIEL","AUS","Female",2022-11-05,04:40:57,"Amazing Thailand","Short Trail Race"
"227","45",337,"Irita PUĶĪTE","LAT","Female",2022-11-05,04:42:14,"Amazing Thailand","Short Trail Race"
"228","46",316,"Magaly BONILLA","ECU","Female",2022-11-05,04:44:54,"Amazing Thailand","Short Trail Race"
"229","47",314,"Laura HULGAARD","DEN","Female",2022-11-05,04:45:45,"Amazing Thailand","Short Trail Race"
"230","48",303,"Veronica Palmira FILIPPA","ARG","Female",2022-11-05,04:46:30,"Amazing Thailand","Short Trail Race"
"231","49",302,"Maria Paula GALINDEZ","ARG","Female",2022-11-05,04:48:06,"Amazing Thailand","Short Trail Race"
"232","50",315,"Amalie BENGTSSON","DEN","Female",2022-11-05,04:50:25,"Amazing Thailand","Short Trail Race"
"233","51",347,"Jessica CAMPBELL","NZL","Female",2022-11-05,04:51:03,"Amazing Thailand","Short Trail Race"
"234","52",379,"Jeanette Macarena CAYUQUEO DOMIHAUL","CHI","Female",2022-11-05,04:57:27,"Amazing Thailand","Short Trail Race"
"235","53",346,"Anne Marie JOHN","MRI","Female",2022-11-05,04:58:03,"Amazing Thailand","Short Trail Race"
